2026-03-06 20:57:15,441 | root                 | INFO     | Logging initialized [level=INFO]
2026-03-06 20:57:16,112 | bot                  | INFO     | Starting bot polling...
2026-03-06 20:57:16,112 | bot                  | INFO     | ══════════════════════════════════════════════════
2026-03-06 20:57:16,112 | bot                  | INFO     |   🎫 Webook Pro Bot Starting...
2026-03-06 20:57:16,113 | bot                  | INFO     | ══════════════════════════════════════════════════
2026-03-06 20:57:16,140 | bot                  | INFO     | Database initialized at C:\Users\yussef makhlouf\Downloads\Ticket-Booker-Bot\Ticket-Booker-Bot\data/webook_pro.db
2026-03-06 20:57:16,140 | browser              | INFO     | Initializing browser pool (max=5)...
2026-03-06 20:57:18,148 | browser              | INFO     | Browser pool ready: 2 pre-warmed, 5 max
2026-03-06 20:57:18,149 | bot                  | INFO     | Bot startup complete!
2026-03-06 20:57:18,149 | aiogram.dispatcher   | INFO     | Start polling
2026-03-06 20:57:22,317 | aiogram.dispatcher   | INFO     | Run polling for bot @Tzkartybook_bot id=8785687069 - 'Tzaker'
2026-03-07 02:50:32,089 | aiogram.dispatcher   | ERROR    | Failed to fetch updates - TelegramNetworkError: HTTP Client says - Request timeout error
2026-03-07 02:50:32,111 | aiogram.dispatcher   | WARNING  | Sleep for 1.000000 seconds and try again... (tryings = 0, bot id = 8785687069)
2026-03-07 02:50:42,311 | aiogram.dispatcher   | INFO     | Connection established (tryings = 1, bot id = 8785687069)
2026-03-07 02:50:49,648 | aiogram.dispatcher   | INFO     | Polling stopped
2026-03-07 02:50:49,648 | bot                  | INFO     | Shutting down...
2026-03-07 02:50:49,648 | browser              | INFO     | Shutting down browser pool...
2026-03-07 02:50:49,791 | aiogram.dispatcher   | INFO     | Polling stopped for bot @Tzkartybook_bot id=8785687069 - 'Tzaker'
2026-03-07 02:50:49,792 | aiogram.event        | INFO     | Update id=648318734 is not handled. Duration 7480 ms by bot id=8785687069
2026-03-07 02:50:50,051 | bot                  | INFO     | Bot stopped by user
2026-03-07 02:50:53,116 | root                 | INFO     | Logging initialized [level=INFO]
2026-03-07 02:50:53,454 | bot                  | INFO     | Starting bot polling...
2026-03-07 02:50:53,454 | bot                  | INFO     | ══════════════════════════════════════════════════
2026-03-07 02:50:53,455 | bot                  | INFO     |   🎫 Webook Pro Bot Starting...
